7879	956f	3b91	be21
69a6	f46d	5768	bcc2
e3fd	8fae	3570	790d
a4d5	7c99	f808	30b8
4977	f742	c861	dd7f
e82f	0b46	0ed5	aed6
a687	6c63	a9c4	aa28
700e	5320	ac62	c03c
65e4	8359	be98	655f
0f0c	e784	0096	88b7
7b37	ae7b	9b95	c079
5aa9	0ba9	6177	1c28
aae6	e90c	6c39	f78e
a143	9c1e	afa1	e34c
9fa0	5ab2	72c6	34da
238d	3c7b	10f8	f129
066e	13f5	c4bd	ca13
ba02	7771	b157	4021
21e2	c0a3	94b6	fdb7
f60e	8ba5	30cd	1a75
74b8	cfd5	e4e2	71e3
46dc	ee70	e1d3	776b
6fd1	2954	37a8	143e
fd64	4f15	671a	63f2
5d3c	459a	ebee	f375
16e3	77bf	abed	b278
aa51	3535	fdaf	e43d
a02d	f227	3ee4	c3cf
4eed	75fe	d0a4	fdf0
d38b	d3a5	cd74	6e7a
4ea3	7e7f	6e4a	109d
cfc2	6f8a	1a02	7d66
ba0d	ea17	2d42	fcdb
65b4	775b	4ef7	c51f
9a3c	e34c	4a40	e126
5530	38e8	c15c	d416
61a8	6a38	5616	0776
28a1	1e29	3773	e2ee
d8b6	a6e7	d535	4821
e97b	a0c6	40ca	5f63
d2e4	e625	4920	c64d
7fbd	f258	1890	34e8
05a1	3f8e	5ed8	7a10
5445	fa48	b4d6	c5eb
e671	12d1	31af	e148
8d4b	1e38	6633	4c49
8641	bbd2	c5d5	07eb
d38a	a7da	8b18	befe
aacf	52bd	95c7	9376
c943	db50	d889	068e
cfc2	841d	ed62	2fe6
a6a9	0767	1169	bc2b
f82f	04a3	1ae6	2702
3cb6	1958	8833	412d
a684	de13	d1b2	a4e4
a13b	aa13	1a43	1f91
e27d	a720	c497	e00d
7f17	16af	13f9	bf04
180f	f36a	41e3	06d2
09e2	6023	5e08	0ca7
0d97	3a2e	cb73	2498
f686	dc34	d67f	19fd
1b6e	b5f2	902c	392f
ace2	2a20	5f8f	004f
a461	6ee6	84f0	1933
8a1d	c15c	3f2a	b4e4
7e28	3ab4	59bb	e59c
e7be	ef74	764a	d1bd
4fda	d010	f318	ae55
b1d7	031f	68fb	6b5d
2cbc	4598	1377	b88c
971b	672d	bac6	8e13
e379	5b66	12cf	50db
3544	1455	50cc	d217
6418	4c8c	1db2	a25b
a43b	fd71	8bbd	c5e7
8d2d	1698	5526	3da5
db45	72ea	0384	5795
d8a9	ae95	7358	2391
7f94	09a6	bffc	47f6
7c42	6ee5	0037	f664
22d9	92a8	b0ba	af7a
928a	2976	489e	6768
4eef	0dbe	9966	6fc3
146e	f9ff	45d8	6d9b
e975	fdc8	7c31	99d5
63b9	a64a	1ab3	8e19
cc25	50e6	846f	81ed
5760	6474	7c91	5f06
d55f	95e3	cfcf	a9d9
e2e0	1c2e	d7cd	d153
30ca	4509	cefd	2b39
1dcb	979a	4b1b	3b91
6cfd	ecb8	46d6	defd
0607	5837	6ec2	bc7c
36ae	3d2c	150c	52af
b68e	6ea4	eb2f	4008
8316	852f	78e6	00d2
a66a	e6ce	2665	8fdb
a7e0	42ce	2f34	e8a0
888c	7bd1	b036	a838
2137	97f1	38e9	3e19
76e2	85b1	5d9c	83b1
cb2c	ae88	39ff	dab9
953c	f61f	a94a	8300
f1bb	2f30	4fec	5910
440c	b26e	de45	4cae
9f24	1c45	b7d7	7e7c
73e5	e2a9	d790	daea
a3b8	a1da	b31d	665a
01ac	df9e	5631	1cda
80f9	bce0	ef64	2403
9b73	705c	3738	1530
92b5	4f60	426d	18fe
5c95	b436	065c	3dbe
2a78	ac77	8e31	5b35
a3af	11c7	5feb	821d
c5a6	d53f	b95e	844c
b7d9	c5ee	be65	3ac7
40f4	d401	f729	9434
f0e9	4c6f	5cde	e920
8f96	29c5	86ce	abf2
e094	1456	1ec1	3138
296b	3301	f0ab	13e6
3e2d	e39c	d0e3	26ba
9211	4128	5d4a	9e94
bd17	ac1b	0468	8184
a26e	aa69	9e70	a3c8
d2ed	bc52	e64e	1049
c4a4	cefd	2370	6fc8
ec90	17d2	217b	0da0
84e0	f93d	b1a5	c26c
d070	183f	c2a4	4aa4
6955	d3bc	51e1	5716
d2d2	efe0	a858	a335
4c11	a682	ab5e	6d05
eb1f	4a60	8271	5562
7c69	df28	587a	d698
9483	8462	104e	75f4
9234	fe55	3fcd	1c55
88ba	64f4	15cd	53e7
dff5	8db4	283f	0723
74f5	b82d	8017	ed13
a4eb	fbea	1ac7	bffc
8def	50fc	e9b4	919f
1029	f003	c56e	a41f
7036	6bc6	d1b2	8fb0
f3af	6e9e	bb4b	bf88
bce8	4ccd	d1c0	929e
e2f6	fb71	a0fc	044a
032c	a1d1	1954	4490
c697	7aed	5fe8	3835
34e5	7487	d60f	b46b
702a	df98	7e99	58d3
c72e	530b	b6f4	58a0
6a98	8d00	0db8	3ae6
f215	eaa4	2e7b	3f55
ab8d	d743	9864	c973
77fb	652a	fadd	0584
567f	d2f3	dbb7	3b5b
d490	f477	0259	e928
7df8	04e5	14c7	fe99
7e9c	ebb3	7b87	6315
5883	cd23	e80d	04df
b4ea	ad2a	648a	02a6
6bf8	f6cb	1b2d	5226
e6e2	ee69	03e5	122c
d944	b8d2	2770	5a29
4c3e	11f3	6df0	b140
9a2c	be6b	5e10	9efd
94c0	e91c	3be8	b5fc
37d4	aa9a	6442	9687
ff7a	3858	b616	3a5f
facf	be58	6e31	a3a6
ca9a	7869	9620	f42e
feb2	6acc	c3dc	8f6e
ff76	86db	c6a5	253c
787f	bcc2	7cbd	9652
d49c	93e4	94d5	bc75
dc70	4e19	d298	a504
f657	c4d7	17b8	000f
f7e7	5f9b	0ec7	2e38
062c	4832	9da3	c59f
2b85	77a0	04e6	eaa7
f159	015e	c701	bdb7
1cec	12aa	6b2b	b57c
a4a9	0ea5	b2de	8496
4f70	360e	849c	cd56
b3b6	8245	4afe	462b
eeb4	e833	5deb	45cb
0fd6	ac87	bbda	2651
369a	4837	2d3d	59e3
96cc	564b	937a	2fb5
bb18	dafa	ed18	9c75
448c	e9a7	1eec	11f2
d2ef	50b6	8d02	6261
69b7	1f6c	44f1	c18b
61b0	0ec1	a77d	df62
a2e7	5787	de08	e30b
3b55	c4be	0a6d	51ea
f496	4cc6	7718	6386
4422	0b29	8628	41b1
3fa9	331b	bcf3	8b75
8b4f	2dbb	b24d	f0a8
b591	9ff2	7675	b22b
6010	1a78	89c1	5f67
543b	f941	93cd	5603
5d15	a4c0	1e69	e7c5
6c0f	7e18	f84c	938b
3b9b	59f0	a4c1	65a8
bb09	cc38	ec3e	6f7e
533c	9b2c	e167	14f6
460e	c107	e81f	13ea
d656	b953	77ad	46d9
e430	2ec1	03ab	41f9
6cbb	430a	3c31	49ba
b4a9	1b45	8841	074e
0bb9	86f9	6d22	5c9d
5180	2e6f	f702	334f
cb96	6ea5	77e0	3069
d65e	17cd	6ad3	ba92
d7dd	780c	3e9c	110c
7209	4f37	28fe	190c
fe7c	e901	8026	318b
65fe	36a9	ed00	1850
2e3b	d812	9761	8866
258f	8146	0691	278a
9068	567e	3436	378d
c1e4	3f9a	32ed	9788
1d69	641d	eca3	49e8
1619	608c	87ee	c150
9a78	5b57	7dc0	5669
bdc8	4960	ce85	9e67
4e4e	ce7d	5ce7	1051
e4d4	4611	a68b	8244
95a1	519a	837f	3ef0
3918	939b	baed	2bdc
087a	6d50	9a7f	c1f8
7214	f1ba	5f53	855b
a4af	e3a7	39eb	302f
c811	341a	a96e	c0a3
ea6b	bd97	a024	5208
0e04	1006	30cc	6275
9c91	56b2	698d	ed7f
e284	5891	46a3	ea51
d420	f1c9	9471	26fc
7e0e	b217	2681	d9b5
6adf	4e52	13cc	bf99
604c	0277	6d35	d915
6cfa	3157	f959	a645
6172	0281	87e0	9dcb
7677	2ae7	8176	09ed
4c70	6cc6	2d9a	e821
d576	fe94	f5ec	6847
ea56	fe09	122a	03b5
85b7	1074	c749	1c29
dbce	82e2	a7f1	4e43
e702	c152	93fe	f39d
2cb6	fef0	bdef	14a2
e47b	ece3	31ec	a640
cd10	039a	32ee	1328
a7e7	15ff	8ea0	30d2
e42e	6147	7f2d	cbd8
6eb4	1a2e	8aca	dea1
20d3	ef1e	3fff	d11a
32a1	b167	a573	4ca3
979a	91e2	e6a4	15fc
6828	127f	9057	8ba3
5a47	8d60	3780	f7b8
9b67	83c3	3a88	8820
e6e3	a149	d545	58ef
fe9c	f00b	549a	fa66
22bc	5b3c	95b3	b47a
a9b6	70c7	0bff	9aae
9495	487c	7267	4006
bbaa	9ee2	79c2	46ff
625f	d544	25d6	8deb
3c96	bd38	f56c	d850
63c5	7fbb	594e	bba5
b235	2ac9	41d0	cff4
4d97	1d6e	eced	f368
dccd	a20b	db34	439c
80ad	38be	083f	e1ab
5c67	60b4	998d	7826
29fc	c293	c4d0	2961
72ed	ebaf	4b81	5f70
2753	75bc	cedd	1b3a
9192	d8a0	f9de	5c9b
16fa	a011	6757	e475
9c21	2bdf	7db9	3cfe
fc5b	c470	fe83	46f7
ba52	f5ac	37dc	941c
337d	f465	1fd7	7774
2077	f272	9c56	2137
9261	5408	6c5f	471b
ac41	8193	33b2	1321
d9fe	3c8d	3555	1313
a22f	43b0	a925	db76
fc26	8ad1	aaa1	dd30
0adc	5179	8847	f853
7ce4	6853	9a09	95d6
d358	4562	f666	8dfa
5f0d	1152	6a74	8b44
f6d7	bf60	dec4	9865
9504	ca8c	342b	1e61
506b	f26e	cf39	61d9
9303	b96a	9963	e8de
1f80	d4b5	ebf6	2860
3a91	4d30	79c4	2e46
b8dd	bbd6	885d	0847
a16b	7ae5	382c	8fe8
54ba	2595	ce1d	688e
1e91	3ddf	3d84	58d8
7a79	91d6	aca2	4ec1
9940	1188	e8f2	4c7f
8af9	dc37	632b	49ab
b451	6feb	2670	a876
3e0b	ed04	5825	8d72
552d	382f	d49a	708e
0e9e	3d2f	21bf	a070
5ba0	5f92	f231	5eb9
961f	2126	3b81	05e3
d136	57bf	a516	5f69
e498	3c94	391f	cabc
028f	1ce2	69a1	b557
ccd3	73a8	5aa0	2cf8
80c0	ccf9	a9b2	99ca
0b04	cbf7	14df	4503
506a	f782	7a4b	b394
9c6a	a7c7	ba07	9838
d096	d299	fe12	c09b
58e9	798c	90f4	1034
8097	cabc	1780	c959
7b02	e654	e256	5df7
bb91	d2bf	98dd	9f28
0343	1286	49d5	6257
95b8	1661	534c	a690
2c6e	8e4f	796d	1fa0
ef95	2eaf	6c15	15a3
f061	3b6d	6b30	4949
8ac1	b96a	d334	2a20
91b6	7224	478a	b9e3
3242	d5cd	e763	79c4
77c4	8d8e	de5e	73aa
62f9	3a6d	b98b	e004
8eaa	8e0f	c1ab	faac
0211	6285	7c13	3f15
1667	f8b5	7fd0	90ab
1d73	44b1	afb0	5140
0c44	4055	26c3	8a25
9533	50b2	0916	637c
7cf1	7aff	e299	4a35
14f0	91dc	9c4f	f2f8
7559	4364	56b8	b477
eeb0	395a	19a5	6d75
49f6	e53e	28ba	199e
05a8	a368	c2dd	b7c4
790b	9ec1	bb6d	5a98
ffcb	84f8	3bd8	9054
bc5c	c6d8	5372	98df
cabd	a138	cbd9	822f
cf0d	c8ad	5699	595f
0022	127d	5118	942c
49c4	7548	bdc4	b5b2
d048	6be1	c9ae	69e1
0615	4558	3cd3	60f0
90ee	28b6	63ff	3b99
cec3	c2c8	5f00	179d
f403	e313	8b53	f94d
5196	a4f6	90bf	3569
9651	9ef4	0538	7ddd
7216	91ce	39f4	5b8d
6741	f61a	d418	9c8c
ef03	75d5	c136	274a
bb45	ae27	cd12	7a1d
aa87	832c	0def	5805
e060	8018	5353	4f90
1245	813b	091c	8307
cb81	6892	1a30	1d3a
e129	bc99	035d	2482
70a7	1065	d440	7470
b577	0c4d	fd69	6c92
866f	497e	9986	fb16
e643	2fcc	4c2c	4e0f
f7be	f1a2	af79	3dfe
8424	1305	3820	e01a
d55c	ac50	c7a7	02b3
db06	f7e7	c2d3	a08e
fc33	2d3d	83e3	0150
548e	f6c9	57ab	be73
d7ea	ea2f	aef0	b8c4
0fdc	8791	c547	b2bc
a446	de2b	48fe	42c0
a8b8	a6c9	82fe	7ca3
6b6f	2e8c	7aba	9c21
44e9	1172	1af1	6294
31f9	93d2	5999	6ecc
2330	322f	bada	7e05
c280	2079	26f5	2b3e
7555	87fa	f730	4ea2
185c	a684	730d	35e8
2c80	caba	fb87	6db2
2475	a6e9	104b	9a8c
502f	5ac1	ec37	ea66
c729	aa4b	3dc1	ef3a
51d1	b781	71f9	94fc
dc1f	2ed5	bd85	1c8d
dec4	5f49	ab32	339d
7778	c571	a66a	5ab2
e016	4e88	d135	ce84
188e	7eb2	9163	9334
7cee	2a03	8c58	9f9b
b676	86da	9027	a8ab
b971	7a3c	8b59	73e3
f248	6d41	5cbb	9c06
4cef	cef9	6820	4d76
56b5	e9c8	9c89	9f32
3cec	d1f9	e0f4	70c7
1853	8c20	dafe	9adb
620e	4ad8	5dc9	d58c
00be	9232	2284	8d63
f469	4259	a84b	4c3a
2a6b	5ec0	117c	def7
0ce0	1b5b	8015	0384
4807	e740	40c9	6df4
f8a3	7fb0	4e53	b940
ab4a	d111	0788	905d
aa80	a387	6bf5	b3eb
1260	48b0	145a	57c3
ca62	a367	93d2	3ad4
3a1c	0c9c	89a9	dd48
37f9	c7a2	740b	a3af
6957	e58a	745e	692f
f90f	60d2	869d	3b81
f5bb	f3ca	24ea	e3b4
fe29	eab6	9f4e	46ee
ccbb	6805	2b8a	7f6d
9bd6	1ab3	4db6	eefb
9a1e	4e0f	4487	393d
e5c8	ba5c	e0cc	0322
f356	17a7	01b3	13f9
ee85	b4f5	2dc3	1513
4ed3	059b	b1bc	ac54
92d1	3f60	2135	3f4d
bb19	026f	77b5	eeae
ad5f	9462	dbe5	9df7
ea72	0102	af85	8bad
b1f4	dfff	8b0e	9965
b919	6d28	c916	0584
2fbe	74c1	f0b0	7be8
be2f	abff	a761	0b01
afae	a3b7	49d2	38a0
1096	914e	6241	833a
1846	b90d	add5	65b9
3e79	7e24	a552	3d7b
0498	8f21	125f	f94d
a350	fd4e	0cff	9273
7d40	076a	6105	0229
5bd2	cc82	91fd	54bc
bb93	fb19	6988	cafe
eb6c	d88a	78b8	7b5f
30ed	efab	30c6	9a0f
98fc	001a	8d33	af7d
1db5	67a3	80ec	3e1c
2da2	1607	47a0	c06f
58a5	16bd	ed9e	d3f5
1d0d	a23a	1540	35d0
c08a	9a4a	100f	036d
bf54	72c2	8054	3e00
77cf	2bb4	7c85	2b40
3faa	624a	d015	9a48
f7f2	b3d1	17df	57af
160f	0f35	9692	b908
67bc	cee3	13c0	5c23
c0ea	87b1	7bf6	f2e9
0544	ed60	3b0e	6463
a595	cfbe	183c	181c
e64c	2431	88ac	4e76
d66c	a4ce	56c5	abec
d70d	1941	868e	a3a1
bf56	7ded	94ba	643d
4b51	0f55	085b	eb65
3367	97dc	bb2c	2f2f
223a	d1b8	4496	74eb
6d0a	880b	e796	de5c
6d7c	496a	a847	adb0
55a8	0801	154f	1d8e
fc36	a007	1cb4	2131
36a0	978e	02a6	6f15
0e49	29a0	43d1	1936
07c7	ec62	2d8b	1b6b
3cdf	9a84	0e09	b3e4
2b4e	5daa	efd7	505a
5110	3219	4f6c	5631
e46e	4287	2ffe	f263
bb79	3f17	7942	6bce
2603	7b43	9638	cadd
f591	0b3b	22bf	bb77
6c38	6f88	acfe	36a9
f6b7	fb01	13d7	77c2
a8bd	c631	0dbe	f4f5
8cef	5a04	e534	73a7
a4e7	e2a0	5290	8548
1a31	a47e	c2bf	b7e2
e3d0	d263	9742	22f9
3de1	6f51	d181	c2ed
3b74	bb87	06da	83f4
c807	12f1	fb70	cf16
ec42	fa77	d5b6	6088
cd98	3508	bc9e	3ba0
e096	0c51	15b1	03b1
718d	768b	fbc3	9ddf
9019	8ce0	153a	89dc
fa7e	46b5	8a4d	0c79
c768	eacf	c316	a95a
477d	7480	4f70	54ca
e25a	3b09	84b5	fad5
7f98	9ce0	3ae8	f9da
598f	ac93	ee7d	e7ca
84b1	f45b	39e9	1bbb
2ded	ad7e	b780	d0a6
0c91	fa49	5724	a535
e1e0	bbc7	0967	29af
0071	16e5	29b2	3d57
eb9c	769f	90fc	5841
fbad	8286	b74b	378e
4e70	a2f0	64d0	459e
47ac	e06c	a23f	557c
c496	b290	a4f6	b39b
648f	bc0f	80d7	1a1d
497e	93b5	a70b	e46b
e595	f238	5371	9889
34a9	7b85	5456	9d18
69b9	11a3	18af	d324
ae8e	e418	cc1d	5bc9
f847	ae14	975e	6745
c6c9	9227	3ab9	4782
41c6	853a	f11b	dea1
7999	9410	f99b	ba38
ee98	42cd	08ef	acd1
f614	a7f7	17f2	9b64
c7bc	068b	1140	116b
85ca	3b91	0eea	1a59
f172	4621	d2f2	91fb
6c97	86b6	3916	43a5
045d	73a6	3668	8f97
5b7a	25e7	44ae	63dc
3248	300e	6683	5bd8
69cc	68af	204f	14c3
74a4	3177	3b9c	385c
177f	da50	e4ef	5c5d
6652	eb51	bb56	404c
dfb6	83e7	10dd	2eed
0eb4	68d8	3d46	2d62
8911	fb00	1138	5e11
d0f4	585a	00d7	bfdc
585f	0474	0e99	dda9
b944	46cf	785d	97f7
e5a0	ccc4	2b01	b2ba
3b53	5b54	12dc	4e27
1656	c891	1617	d4a7
dceb	e182	7426	aabd
beb2	d829	64dd	7bf4
8bb1	b451	c4c8	8cb7
723b	4ab8	2491	7b9a
5974	4e7f	a9b8	9165
06ea	154b	7c2c	66a5
f72a	e73f	8216	33bc
aa02	8b11	7ad7	db65
544f	a686	3314	7517
6a8a	8e59	9a21	f074
6f37	63f3	2bbb	6582
2d8d	7442	9e86	4c39
e767	4949	6cee	8187
fc09	05fe	2869	afdb
1e0f	de79	e190	8adb
075e	031b	a173	eb98
2a21	4393	de8e	b912
3a79	93b8	be8c	9511
f986	42e7	621b	67f2
4866	200d	37ec	6f94
8577	ef00	00a2	218f
a12d	4222	43ce	fe0e
8a39	1254	f325	5e04
749b	8ca7	5ac1	1c75
2bc5	a2c8	9e66	85f9
d0db	7265	f42b	50d2
00ef	ca03	2152	cce1
a2fb	7af4	b54d	6896
c138	1c4a	8008	2801
1608	374d	ab37	b8ef
df2b	e75b	a1f8	6c8d
e5bf	25ae	d345	0e40
6201	9792	529d	cb24
a2b3	9d89	33ec	abbe
b026	409c	227b	b4c6
d55b	05e3	58af	ff40
df02	7aeb	2a94	76b0
6029	1a18	3f0e	37f2
bfbd	8110	0cec	47bc
d4c7	d939	6579	21b0
d484	2d51	5ae9	fb51
bec7	0135	263e	ac9a
39a7	86e0	120b	5f13
62cf	a6b0	503b	2950
3842	6103	612c	3aea
84e0	89eb	c4ae	9cdd
5818	2f67	e66f	808e
7e07	8305	f3a6	6088
5086	ec32	e45b	8920
d165	3dea	4d49	6370
cdfe	c339	7643	663a
13af	34ab	c4d1	b050
2bbc	cacd	f182	e6a7
57d9	3922	7545	9b0c
a8c1	63cf	3dfe	a7dc
6cf7	56a6	5619	77b2
ec2d	ab50	e0d0	074d
2b84	7fa3	b082	b621
51e7	5802	cfd2	6f17
40ba	080b	8a82	4c13
44dd	ccc0	c774	899d
e301	36f6	dd6b	4099
eae8	0734	6bce	05e4
98d8	5367	19e9	4690
8d84	ead2	3d41	5cdb
e76e	b46c	4884	a32f
3576	1bff	81f8	bc8f
a5b4	942e	1d2b	96f4
5934	5e55	8ab1	28b4
f2cc	573e	a519	fece
9380	01a1	e544	ec58
abef	6e33	6bcb	5c53
6bc9	1813	ff30	4ab4
247f	8e83	382a	40f4
c8d8	a9b1	39a2	920e
80f9	643b	a995	da82
64ec	d7c8	dad6	d5f8
9027	d0ff	69bf	33c6
0839	07ae	ce07	771e
55b5	5d05	46bf	82b3
ed23	44b3	3cde	3743
7461	5aad	b2a8	940d
feb3	d27a	06b5	896a
20af	f74b	929f	9d5b
f9ca	f3c2	5baa	48b4
7a6c	d5c6	6cfb	b36e
632b	2093	5e04	7c9b
833d	f7a0	5193	1c7e
f9bf	63d3	1b9a	9484
380c	5e86	bfca	906f
89a5	51c7	de48	3420
21f8	5c10	8f66	7a69
4882	f12d	9421	99f3
83d2	802c	a62b	ca86
5374	12c4	89bc	86e8
d0dd	12d9	840f	2741
b34c	5280	5fc7	0e26
dd1a	a39d	1e0b	4474
11fa	3583	4de8	f3b0
97e6	7393	79f4	96dd
7e1b	5173	af72	a9d8
26d3	702c	2d6b	e85f
f53e	3f05	ec6a	c3dd
119d	0611	b9f7	efb4
2eda	50fc	9d61	c4a7
4c23	cc95	79fd	10de
caca	14fc	2cea	14d4
8c1b	3d15	ede0	c737
016a	e5ae	b476	8b8b
7805	2306	7913	1f5e
dfe8	3fae	879a	17fb
82cb	7d9a	444c	5288
734f	001e	16cb	7edd
4e02	0352	f568	f691
5c8e	acfd	0482	9bbc
3b2d	b32a	a62e	19c0
2f45	4bf0	d78b	c226
d925	ac25	0b6c	1be7
a582	bf64	e0cc	6ab2
67e4	a2c0	cfb4	6175
b33c	92a1	3f17	66ce
9583	f3a7	3c32	f6ac
b4ff	b8ed	f605	80d0
0b17	38d7	4bb7	47c7
ecf4	cce5	3c2e	9afd
4012	9599	9730	7e02
cbbe	9246	aa3f	87e6
05a5	f4b5	e670	8f85
9f39	ab96	90d3	c3c2
afd1	abbc	34f7	152a
54e3	ea70	e5cb	e8c6
be4c	698b	1869	a168
cf1d	e5e7	1de3	ae88
31f4	1030	434e	49b7
9c9c	4b55	fd7d	3d65
e318	0df4	590b	4228
75e7	f746	6253	3f74
9bae	6dc1	b1ee	e979
5e0a	ec8a	77b6	729d
640f	8bd6	2e7b	ab7a
c01b	9355	0547	922c
f996	63e2	ba0c	604b
8977	e7c3	09c7	88eb
96fe	3c7e	7f72	a77c
a108	742a	e7a2	cd9b
1b93	a13d	1bc0	23c4
5867	fe66	368e	77dd
7f7d	c36c	9dcd	4bfb
c11f	e9e7	6b05	7cc6
5a4a	4a49	a891	1141
5d90	6464	b119	78c6
7b44	7719	cc0d	0c45
9a4b	8b60	a44b	1cd7
5d8e	eacc	24fa	ae5a
5922	d2f2	ef54	cc98
3f83	ad7e	959f	4bde
d66b	7813	80b1	5239
8611	e804	885d	39f8
dcd7	a73a	5c7d	0f9e
444c	2882	4db3	e36c
7d4d	a16a	0c8c	f234
9e8a	9c90	4734	8966
1b72	813d	ea57	8178
90e5	b39b	2bbf	72e6
e8c2	226b	5c4d	4309
b801	4033	d9c8	e91f
9a8a	aacb	3cfb	af41
c8d9	2c89	837b	731a
9c2d	28f5	2e51	bfd7
c316	f686	ba48	c397
caa0	4340	25a9	22f6
76ae	1638	7796	043a
b3cd	7d18	8179	1e1d
5d5c	ed2d	d30d	5276
73dc	f9a8	e8f1	8504
fe24	be22	bd46	0fe1
7e3e	ce3c	b4e2	d87c
0fc5	084d	1a7b	5cde
887c	817f	94d8	d099
ad7d	70ef	7586	a23a
c574	5ea8	2784	3078
8f32	1c0f	a6a0	23cf
0e9e	beca	1cfb	7411
bf3d	1695	536f	4332
93f4	19f1	11bf	b12c
6cf4	c342	027e	0625
5aa1	df0f	bfb3	6373
3e65	358e	93ae	4bcb
2fcb	35a5	4b9b	c8b3
ec5f	1db1	c5e6	5a25
6440	7125	728b	a63a
f702	166d	67a2	cb2c
942d	e529	b697	87e4
266c	ccb0	c6cc	6931
1bf7	4236	cc5a	c3af
9f6a	9c81	c92b	e15c
9a07	70e6	4776	c496
a57c	e4b1	ece4	6ad0
87e2	e275	96cd	ca15
84c5	6a8e	9a03	5a6b
1242	523c	f555	8af4
f179	56f4	c38e	9306
069f	e4e0	ef14	f05c
39d1	5fdd	5f5b	df3d
aa23	4f89	a017	f19e
7a09	3977	6739	b42e
336b	9d1b	44b5	5eda
e954	acee	2cc4	02f5
1777	db22	da37	94e7
e162	960f	4bc6	cb34
ab35	df02	a4a7	2c24
f4ee	eca6	fff3	1c9d
6358	d513	03b0	a680
ed0c	606a	5d1f	0a91
c567	fc58	48c8	ad7c
6238	e71c	4b18	b3a4
5f68	071f	9529	6387
e977	7709	b0d8	088f
7078	f9a1	6460	649a
1c14	60d5	fe62	2efb
3300	ecf3	2ace	95e2
14b3	fe9f	3979	bc71
e096	6621	b086	a9d5
7eff	cf1f	3025	9934
c1d0	14dd	67fc	5e35
b6ef	b4ab	4ed0	ce38
effb	1dca	2d42	556d
be54	7004	8e81	ae63
f79b	02fe	75c7	f9e6
cb33	25c2	7dfe	7249
681f	7f30	28ad	a23f
ee15	0c91	33da	86e4
bb40	7c1a	f4df	9e0e
06d8	e448	5475	30ef
7a6f	c97e	db8a	9eb8
353a	4e4c	0448	f14a
7444	7c98	4d37	6613
afa5	147a	1c13	3516
b6d3	eea5	3a88	1781
1634	f1e0	bd35	da91
cf7c	68f7	5008	e443
4370	2cb2	db75	66d2
30fa	6164	5cdc	00ba
98da	7e40	1cb5	2715
78b8	21cf	2a72	1a96
0082	a956	5b4f	3ff7
91fd	afc2	b11e	0472
a1c1	5a2c	3889	1f14
f09c	6ba1	1c4b	80ba
97d6	5d96	9ab7	e40b
b916	94b6	5b61	06b6
7733	180b	0d73	0d46
06ba	15df	3d1b	5d14
4040	62a9	2bc1	a070
a641	e107	8900	7a11
2848	59c8	607d	0aa2
092e	8fb9	2124	cb34
7042	8938	3772	bd27
3ba2	916a	9cd7	edf2
14aa	9ca4	6c9e	56d7
a608	a19b	5c59	0455
3cef	f628	bbb6	687c
06b3	72f0	c0ee	5d1c
e940	f3c1	b7b9	f6e7
2595	8130	7321	fa97
38ad	2b57	cc06	1cf3
435a	51fd	ab58	4a5b
bda7	4acb	75de	8abd
637c	54c1	7695	cb4e
c689	d211	cb65	c889
d309	80ba	efa7	ca01
2292	0e44	123d	a040
96f6	1220	2e56	ea86
f90a	0744	f297	20bc
f1e3	f169	d624	469f
6186	4edf	a456	edd7
43e2	ebf9	b872	41c6
cdfc	b172	1186	5d42
566d	082c	fff0	91b0
ef75	b481	5de6	1dad
e491	cab0	5c31	aaab
82e9	b479	e412	b380
5106	ba2c	70be	b3cd
5305	e9c4	bc94	95a5
7e70	7182	bc12	600b
7a2a	63ba	da00	ea7d
1a97	e25d	648d	9da2
8bb2	9d0b	3d02	fe43
ed50	a7a5	4fbd	450b
b956	9bb1	e8b1	158c
cb9d	ab75	e1ad	939e
190a	0fa8	a45a	67fd
e24b	7b3a	565f	38ae
f2be	ab41	2d58	66f1
b2d1	63e8	141b	9fa7
f019	1eaa	e967	a545
4494	1256	a939	da48
0c62	b192	436b	956e
f4a9	fab9	0beb	2712
768e	1c42	1b3d	cbfa
208a	5e75	d6ba	9dd2
5761	202a	a314	70de
ae64	6a16	88e9	ebe1
00db	a839	64ac	d2b9
7913	bdf1	e859	31fe
58be	32d8	a008	3361
4ef0	4a7e	d787	1cb5
375f	4bb2	a839	f22c
0e3c	0385	0869	3e03
7610	2a95	371d	0299
806a	4f43	6efe	d1ff
cfb1	4fef	508e	a3b5
4401	5341	2406	263e
8ff1	7401	8956	795f
8437	7041	eb27	3f9a
a63e	99da	1394	600e
f833	785a	67fb	4b97
17e7	3d38	ed47	1a91
692f	84b4	4f96	c595
a74d	1805	c282	564c
fc58	a49e	5852	93c6
bb44	43ed	57b7	25ff
12aa	622f	0786	af41
4cbe	60f6	2e05	794c
b3ed	3ed9	0e61	4016
866e	8ac1	ebfd	3131
108d	c385	9b1c	5624
e276	fa6f	ff48	f041
fa0c	88ab	4152	5792
77a0	98a8	7781	f841
3109	bdb0	7cc7	fa07
f6a2	64a8	484d	77b5
e09a	e497	02c7	1ac0
f754	e170	e18f	d53f
d37b	3709	7b7f	6482
f859	45ea	e690	a493
2a82	f2db	9526	1391
7c04	2d65	c984	ef19
6b31	3507	8263	4020
8913	96a7	d703	c9c2
